Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,United States of America, Carretera , Low ,"$1,257.97",$6.87,$58.12,"$22,109.38","$4,957.85","$10,145.60","$22,238.03","$26,525.90",01/01/2015,7,August,2015
Government,France, Paseo , Low ,"$1,020.57",$1.42,$98.11,"$54,084.02",$-,"$58,548.48","$22,428.64","$19,152.66",08/01/2013,6,May,2013
Government,Mexico, Velo , None ,"$1,453.00",$4.35,$97.24,"$23,011.70","$1,190.68","$57,946.90","$28,191.39","$17,009.40",03/01/2013,8,March,2015
Channel Partners,Germany, Amarilla , None ,"$1,475.45",$1.21,$89.14,"$20,362.48",$-,"$47,294.44","$29,395.44","$19,382.03",04/01/2014,8,February,2015
Midmarket,Canada, Carretera , Low ,"$1,877.13",$1.22,$65.86,"$16,863.10","$2,115.33","$38,022.17","$23,749.55","$25,241.74",11/01/2015,10,January,2015
Small Business,Mexico, VTT , Low ,"$1,108.30",$3.05,$14.95,"$56,404.99",$-,"$12,956.07","$5,539.43","$22,658.57",10/01/2014,7,February,2015
Enterprise,Germany, Paseo , Medium ,"$2,380.47",$5.27,$99.15,"$15,046.45","$4,063.18","$46,551.08","$21,132.97","$29,223.36",11/01/2015,6,February,2014
Midmarket,Germany, Paseo , Medium ,$617.92,$3.09,$39.48,"$37,160.96","$3,991.75","$40,699.47","$26,501.11","$10,064.96",01/01/2013,5,February,2015
Midmarket,United States of America, Montana , Medium ,"$2,566.25",$9.04,$29.88,"$48,414.89",$-,"$36,635.25","$5,352.12","$9,582.70",03/01/2015,6,May,2015
Small Business,United States of America, Velo , Low ,"$2,049.90",$9.64,$27.99,"$57,544.96","$4,260.48","$19,221.14","$23,249.52","$18,718.80",12/01/2014,8,May,2013
Midmarket,Mexico, VTT , None ,$748.70,$5.65,$38.95,"$20,683.87",$-,"$39,263.08","$15,547.98","$23,401.65",12/01/2013,8,November,2015
Midmarket,Mexico, VTT , None ,"$2,970.75",$1.72,$21.99,"$51,244.54",$-,"$11,327.32","$21,542.03","$24,374.29",03/01/2015,4,May,2014
Small Business,France, VTT , None ,"$1,839.43",$9.95,$45.27,"$21,903.81","$4,189.62","$44,967.10","$13,892.32","$19,151.74",06/01/2013,8,January,2014
Small Business,Canada, Velo , High ,$711.83,$6.38,$75.42,"$17,282.20",$-,"$17,228.02","$19,334.21","$17,337.71",09/01/2015,6,February,2014
Small Business,France, Amarilla , Low ,"$2,927.99",$5.49,$13.31,"$52,085.75","$4,583.75","$15,830.47","$29,197.90","$5,992.60",11/01/2015,9,February,2014
Midmarket,Canada, Montana , Medium ,"$1,252.89",$9.54,$48.66,"$44,131.14",$-,"$56,949.03","$6,856.84","$22,045.49",04/01/2013,1,June,2013
Government,United States of America, Paseo , Medium ,"$1,028.94",$7.05,$33.70,"$26,389.99",$-,"$34,701.05","$26,612.18","$14,532.57",07/01/2014,7,August,2014
Channel Partners,Canada, Montana , Medium ,"$2,659.80",$6.81,$51.09,"$26,683.38",$-,"$57,552.79","$10,067.96","$24,607.10",05/01/2013,11,December,2013
Enterprise,Germany, Velo , Low ,"$1,517.38",$7.07,$74.03,"$42,232.60",$922.03,"$33,364.84","$22,665.17","$24,406.79",04/01/2014,4,March,2014
Enterprise,Germany, Amarilla , None ,"$2,962.77",$6.37,$33.13,"$42,491.98","$4,789.31","$59,408.67","$21,132.66","$25,326.93",07/01/2014,7,December,2014
Government,Mexico, Carretera , Medium ,"$2,121.18",$6.64,$34.69,"$38,138.04",$-,"$12,062.05","$13,108.81","$23,793.83",02/01/2015,9,January,2014
Small Business,Mexico, Carretera , Low ,"$2,589.53",$3.39,$34.59,"$21,694.04",$-,"$11,086.88","$13,465.55","$23,833.12",10/01/2014,3,June,2013
Channel Partners,Mexico, Carretera , Medium ,"$1,567.14",$7.10,$13.09,"$54,558.13",$-,"$48,158.95","$12,930.03","$13,298.43",01/01/2014,9,October,2014
Enterprise,France, Paseo , High ,"$1,918.22",$9.05,$78.87,"$52,527.03","$1,453.36","$52,149.63","$18,297.65","$25,999.97",11/01/2014,9,August,2014
Enterprise,Mexico, VTT , None ,"$2,148.55",$1.97,$97.33,"$27,178.34","$1,806.72","$10,058.83","$13,147.93","$19,258.49",11/01/2013,10,April,2013
Midmarket,France, Velo , Medium ,"$1,871.22",$2.19,$92.67,"$56,416.61",$-,"$39,767.29","$10,257.29","$20,830.09",04/01/2013,11,July,2013
Government,Germany, Velo , Medium ,"$1,723.58",$1.75,$40.05,"$33,519.83",$-,"$47,930.85","$26,033.94","$9,361.52",03/01/2015,1,September,2014
Channel Partners,Mexico, Montana , None ,"$2,695.74",$5.22,$74.86,"$21,153.85",$-,"$41,752.40","$9,834.56","$15,144.40",07/01/2015,3,September,2014
Midmarket,Canada, VTT , High ,$693.19,$9.08,$32.01,"$16,407.16","$3,232.35","$43,986.04","$18,724.08","$27,883.99",04/01/2013,7,February,2014
Channel Partners,France, Montana , High ,"$2,422.22",$7.75,$43.94,"$45,378.85",$7.92,"$59,633.30","$10,712.24","$22,190.72",12/01/2015,11,September,2015
Enterprise,Germany, Velo , Medium ,"$1,479.23",$4.85,$34.64,"$51,670.93","$1,440.00","$13,969.11","$8,927.58","$10,588.76",02/01/2014,7,August,2013
Channel Partners,Germany, VTT , None ,"$1,372.78",$2.28,$39.12,"$38,491.05",$942.93,"$18,995.32","$24,634.17","$7,901.78",03/01/2015,4,January,2013
Small Business,Mexico, Montana , None ,"$2,980.62",$1.75,$31.81,"$37,664.02",$-,"$38,769.90","$18,806.14","$6,367.15",12/01/2013,3,June,2014
Channel Partners,United States of America, Velo , None ,"$1,928.95",$1.01,$48.23,"$57,353.32",$-,"$22,331.06","$11,067.13","$2,105.17",11/01/2015,3,October,2014
Midmarket,United States of America, Amarilla , Low ,"$1,600.91",$5.74,$50.65,"$51,626.60",$-,"$16,345.64","$6,232.78","$10,129.24",04/01/2013,5,December,2013
Government,United States of America, VTT , High ,"$1,702.91",$6.59,$30.77,"$17,096.39",$-,"$54,377.09","$24,599.08","$27,059.08",02/01/2013,12,January,2015
Channel Partners,Mexico, Carretera , High ,"$1,593.17",$8.42,$33.33,"$44,867.89",$-,"$29,368.18","$22,869.67","$26,059.14",02/01/2015,7,September,2015
Small Business,Mexico, Carretera , Medium ,"$1,926.91",$5.56,$51.80,"$40,059.29",$-,"$49,551.22","$27,068.09","$19,400.09",06/01/2014,8,March,2014
Channel Partners,Mexico, Velo , Medium ,"$1,636.86",$9.53,$96.58,"$26,908.86",$-,"$50,088.04","$8,616.06","$29,102.92",01/01/2015,9,November,2013
Enterprise,United States of America, VTT , Medium ,"$1,892.39",$4.28,$19.80,"$59,384.19","$1,346.21","$42,068.47","$14,681.14","$6,521.15",09/01/2015,8,November,2014
Small Business,Canada, Amarilla , None ,$669.21,$6.43,$96.58,"$49,758.71",$-,"$23,654.06","$6,551.25","$18,209.14",04/01/2014,5,August,2015
Enterprise,Canada, VTT , High ,"$2,250.97",$7.97,$47.94,"$14,961.87",$-,"$57,348.79","$24,571.55","$5,831.43",04/01/2013,1,July,2014
Midmarket,United States of America, Velo , High ,"$2,898.19",$9.49,$37.94,"$54,827.22",$-,"$58,109.95","$13,938.09","$29,754.60",06/01/2013,8,May,2013
Enterprise,Canada, Carretera , Medium ,"$2,936.83",$8.01,$56.06,"$41,614.96",$-,"$16,001.21","$14,632.68","$20,830.95",02/01/2013,6,October,2014
Enterprise,United States of America, Velo , Low ,"$2,947.99",$4.93,$33.29,"$39,376.70",$-,"$52,454.45","$24,034.03","$19,237.81",09/01/2014,8,March,2013
Enterprise,Mexico, Velo , High ,"$2,644.42",$6.09,$44.83,"$45,751.48",$-,"$56,600.16","$27,656.33","$9,997.33",06/01/2013,4,October,2015
Small Business,Canada, Amarilla , None ,"$2,464.74",$8.88,$29.45,"$47,651.65",$-,"$55,229.69","$26,628.07","$20,451.27",04/01/2013,12,July,2013
Enterprise,Mexico, Amarilla , Medium ,"$2,650.62",$6.40,$87.04,"$39,060.82","$1,953.68","$24,356.70","$23,949.47","$5,920.22",09/01/2015,2,February,2015
Small Business,Mexico, Carretera , Medium ,"$2,224.97",$9.55,$62.55,"$21,994.20",$311.03,"$31,200.90","$11,962.76","$24,303.80",04/01/2015,6,June,2015
Small Business,Germany, Carretera , Medium ,$847.98,$1.95,$34.83,"$48,274.28",$-,"$56,083.92","$16,734.26","$27,326.18",08/01/2013,6,January,2014
Government,Mexico, Montana , None ,"$2,486.66",$2.67,$32.97,"$37,923.52",$-,"$44,470.84","$13,593.67","$23,277.03",02/01/2015,8,June,2015
Midmarket,United States of America, Paseo , None ,"$1,847.23",$2.17,$76.52,"$54,542.84",$-,"$59,093.97","$5,683.54","$25,632.37",09/01/2015,8,November,2013
Enterprise,Mexico, Paseo , Low ,"$2,061.03",$7.86,$85.96,"$39,501.77","$1,822.73","$11,061.24","$19,799.25","$13,476.60",09/01/2014,12,November,2014
Channel Partners,United States of America, VTT , None ,"$1,249.71",$9.19,$28.38,"$40,373.71",$-,"$49,552.43","$5,114.71","$22,325.24",02/01/2014,2,May,2014
Enterprise,United States of America, Paseo , High ,"$2,389.71",$3.56,$70.85,"$58,631.53",$-,"$51,413.87","$6,465.19","$27,150.53",02/01/2013,8,September,2015
Enterprise,Germany, Amarilla , None ,$689.76,$6.97,$34.59,"$41,616.32",$362.91,"$36,971.87","$12,363.51","$26,824.61",06/01/2014,9,April,2014
Channel Partners,France, Montana , High ,$727.25,$9.07,$14.31,"$22,052.25","$1,171.10","$13,443.33","$14,886.93","$24,564.28",07/01/2015,6,April,2015
Small Business,United States of America, VTT , Low ,"$2,909.26",$4.08,$43.98,"$42,122.54",$-,"$40,869.53","$27,268.38","$28,498.65",04/01/2014,1,March,2015
Enterprise,France, Paseo , Low ,$529.01,$7.77,$97.17,"$22,990.49","$4,439.36","$11,836.01","$8,971.52","$16,982.66",02/01/2015,8,March,2015
Enterprise,Mexico, Velo , Low ,"$1,184.23",$2.74,$57.79,"$39,253.32","$3,830.47","$26,525.18","$20,952.01","$15,917.28",05/01/2015,8,December,2013
Midmarket,Canada, Carretera , Low ,"$1,832.64",$3.79,$76.79,"$38,778.87","$4,814.86","$59,894.82","$15,418.16","$10,173.95",12/01/2014,12,March,2015
Small Business,Mexico, Velo , Medium ,"$2,158.79",$1.41,$90.94,"$38,406.31","$4,934.82","$12,780.83","$9,334.88","$12,571.35",06/01/2014,11,December,2013
Channel Partners,United States of America, Amarilla , None ,"$1,188.34",$7.37,$36.96,"$47,027.65",$763.41,"$18,605.14","$8,708.29","$21,298.21",03/01/2014,1,July,2014
Government,France, Montana , Low ,"$2,535.72",$4.83,$54.59,"$46,601.98",$-,"$48,849.37","$5,584.79","$1,317.95",03/01/2013,1,November,2013
Government,United States of America, Carretera , None ,"$1,622.67",$1.80,$57.88,"$39,255.67","$2,021.18","$22,078.13","$11,343.53","$17,792.65",02/01/2015,11,September,2013
Small Business,Canada, Amarilla , Medium ,"$2,937.03",$1.30,$81.75,"$36,643.48","$1,762.35","$31,251.90","$14,050.24","$18,792.45",08/01/2014,8,September,2015
Government,Mexico, Carretera , High ,"$2,769.93",$9.49,$86.72,"$57,588.24",$-,"$50,594.63","$16,598.24","$11,978.29",05/01/2015,1,September,2014
Small Business,Germany, Velo , None ,"$1,035.56",$3.59,$87.72,"$33,317.71",$933.80,"$57,325.36","$24,976.64","$27,077.78",01/01/2015,5,September,2015
Government,United States of America, Carretera , High ,"$2,500.68",$6.67,$68.58,"$36,090.78",$-,"$54,848.10","$13,732.36","$20,873.21",06/01/2013,8,May,2015
Government,Mexico, Carretera , Medium ,"$2,841.80",$9.64,$33.94,"$24,429.06",$-,"$46,705.56","$22,946.52","$11,614.61",06/01/2015,11,June,2014
Government,United States of America, Paseo , Low ,$509.04,$5.66,$57.90,"$53,752.34","$1,603.82","$18,353.12","$15,542.47","$13,343.60",04/01/2015,3,February,2015
Enterprise,Canada, Montana , Low ,$638.93,$7.63,$92.11,"$38,185.38",$-,"$30,535.82","$24,330.65","$13,506.81",01/01/2013,10,July,2014
Midmarket,United States of America, Paseo , Low ,"$1,355.78",$3.81,$66.24,"$13,295.69","$1,872.29","$51,252.44","$25,496.07","$8,190.63",05/01/2014,6,September,2015
Government,France, Amarilla , Low ,"$1,150.33",$2.43,$99.95,"$13,828.92","$4,807.61","$18,502.73","$21,297.01","$3,246.15",01/01/2013,10,November,2013
Midmarket,Canada, Carretera , Medium ,"$1,905.01",$6.80,$73.23,"$35,112.90","$1,845.39","$40,982.47","$5,408.50","$13,964.10",10/01/2013,9,April,2015
Enterprise,Germany, Montana , Medium ,"$2,614.36",$1.81,$74.75,"$11,928.73",$-,"$48,357.89","$5,871.33","$24,157.42",04/01/2015,5,April,2015
Government,Canada, Amarilla , Medium ,"$1,788.52",$5.39,$59.50,"$52,932.58",$783.33,"$54,618.06","$25,973.49","$23,534.72",08/01/2015,3,November,2013
Enterprise,Mexico, Paseo , None ,$909.84,$2.13,$85.25,"$46,367.17",$-,"$53,163.84","$21,188.41","$23,127.50",01/01/2015,8,May,2013
Midmarket,Germany, VTT , High ,"$1,472.25",$3.68,$79.29,"$10,790.85",$-,"$52,941.42","$27,829.69","$5,855.87",02/01/2013,3,February,2014
Channel Partners,United States of America, Amarilla , Medium ,"$2,158.78",$2.62,$33.91,"$53,569.86","$3,096.63","$57,916.85","$5,538.59","$8,643.23",06/01/2014,9,November,2013
Enterprise,France, Amarilla , None ,"$1,079.50",$5.61,$27.02,"$49,028.51",$-,"$47,983.48","$27,433.12","$20,460.11",02/01/2015,1,July,2014
Enterprise,United States of America, Amarilla , Low ,"$2,358.78",$2.40,$86.01,"$59,805.78","$2,504.88","$53,200.67","$14,095.90","$26,166.08",04/01/2015,8,May,2013
Midmarket,Canada, VTT , Low ,"$1,309.59",$1.09,$87.47,"$39,590.87","$3,172.03","$16,863.70","$16,952.48","$18,188.89",04/01/2015,2,October,2015
Enterprise,Germany, VTT , High ,"$2,032.22",$7.74,$82.76,"$35,746.11","$2,621.91","$19,277.68","$13,230.34","$6,256.40",09/01/2015,1,June,2014
Small Business,France, Montana , High ,"$1,659.64",$2.52,$25.92,"$30,485.12","$2,560.94","$49,584.25","$20,827.13","$14,257.14",02/01/2014,12,October,2014
Government,France, VTT , None ,"$1,220.65",$6.85,$22.11,"$40,967.02","$2,842.16","$13,276.95","$27,238.67","$24,404.38",03/01/2014,11,February,2013
Government,France, Amarilla , Low ,"$2,033.79",$2.07,$22.17,"$49,222.08",$-,"$37,166.03","$9,893.54","$5,338.87",08/01/2014,10,August,2014
Government,Canada, Carretera , Low ,"$2,230.76",$3.06,$97.01,"$11,027.12","$3,142.37","$55,332.19","$7,264.03","$16,892.33",08/01/2015,1,April,2015
Government,Mexico, VTT , None ,$856.89,$6.11,$46.68,"$28,788.68","$2,882.48","$32,625.46","$10,806.72","$6,856.97",05/01/2014,12,September,2015
Government,United States of America, Velo , Medium ,$632.69,$6.72,$94.35,"$37,864.39",$79.65,"$14,809.25","$9,502.63","$3,325.35",01/01/2013,2,March,2013
Enterprise,France, Paseo , High ,"$1,042.69",$6.13,$32.75,"$51,755.49",$-,"$17,107.33","$12,445.76","$3,496.07",04/01/2013,2,June,2014
Government,United States of America, Paseo , Low ,"$1,577.99",$3.92,$58.94,"$10,179.23",$-,"$24,198.25","$15,410.56","$25,314.22",11/01/2015,6,August,2014
Enterprise,Mexico, Paseo , Low ,$700.04,$3.50,$24.08,"$36,143.59","$4,417.53","$46,357.06","$27,793.70","$16,246.91",04/01/2014,9,June,2013
Government,Mexico, VTT , Low ,$586.18,$1.03,$93.02,"$37,216.94",$-,"$50,185.13","$28,036.16","$26,193.12",10/01/2015,9,May,2013
Channel Partners,France, Amarilla , High ,"$2,957.72",$4.10,$21.39,"$26,608.09","$1,306.50","$32,671.83","$24,134.65","$17,766.34",07/01/2014,9,June,2014
Channel Partners,Canada, Carretera , Low ,"$1,699.78",$5.12,$90.87,"$59,379.96",$-,"$49,399.03","$11,729.79","$5,575.29",11/01/2015,10,June,2013
Channel Partners,France, Velo , High ,"$1,348.42",$2.06,$23.26,"$15,648.52",$-,"$47,021.07","$22,019.84","$14,176.01",01/01/2014,2,August,2014
Channel Partners,United States of America, VTT , Low ,"$1,147.44",$6.64,$87.22,"$52,591.35","$4,494.64","$45,465.16","$14,032.89","$26,073.07",10/01/2014,6,August,2013
Midmarket,United States of America, Carretera , High ,"$1,125.77",$2.80,$60.61,"$58,735.56",$-,"$52,451.05","$6,781.97","$7,662.46",06/01/2013,3,July,2015
Channel Partners,France, Carretera , None ,"$2,225.02",$6.45,$89.71,"$59,098.29","$3,441.27","$54,815.80","$26,373.14","$24,848.52",03/01/2014,8,January,2015
Channel Partners,Germany, VTT , Low ,"$1,231.23",$6.12,$87.68,"$26,938.58",$-,"$54,556.82","$28,507.18","$26,655.89",07/01/2013,6,March,2013
Small Business,Germany, Amarilla , High ,"$2,499.43",$5.79,$60.53,"$13,361.52",$-,"$16,877.59","$13,896.40","$28,727.38",01/01/2014,8,October,2015
Government,Mexico, Carretera , None ,"$1,116.93",$8.61,$72.00,"$21,212.02","$2,273.20","$48,969.15","$6,380.22","$16,290.00",07/01/2015,4,November,2013
Enterprise,United States of America, Amarilla , High ,"$2,389.76",$7.25,$58.68,"$34,049.08","$4,376.25","$11,756.29","$16,252.63","$6,303.93",11/01/2014,1,July,2013
Channel Partners,France, Amarilla , Medium ,"$1,729.23",$4.54,$61.34,"$26,029.18",$-,"$14,773.98","$6,533.17","$22,186.75",04/01/2014,12,March,2014
Enterprise,Canada, Amarilla , High ,"$2,634.32",$3.39,$98.30,"$52,774.91",$-,"$54,442.70","$15,260.65","$17,989.44",10/01/2013,5,August,2015
Channel Partners,France, Amarilla , High ,"$2,039.57",$2.98,$56.99,"$40,742.93","$3,775.07","$42,734.16","$16,258.67","$1,321.14",11/01/2013,7,July,2013
Channel Partners,Mexico, VTT , None ,"$2,617.37",$2.25,$42.19,"$43,686.85",$-,"$33,940.00","$8,893.58","$10,765.40",04/01/2013,4,November,2014
Government,Canada, Amarilla , Low ,"$1,422.30",$5.01,$16.55,"$45,412.84",$-,"$28,664.39","$11,123.18","$24,750.04",06/01/2013,6,December,2014
Enterprise,United States of America, Paseo , Medium ,"$2,802.20",$7.52,$51.65,"$12,285.36",$-,"$52,922.05","$24,441.08","$3,657.78",08/01/2015,4,April,2014
Small Business,Canada, Carretera , Medium ,"$1,348.16",$1.93,$82.60,"$47,434.68","$4,465.77","$26,728.82","$24,511.99","$19,437.16",08/01/2013,2,November,2013
Midmarket,Mexico, Velo , None ,$792.66,$5.02,$99.07,"$44,473.59",$-,"$27,451.96","$20,781.16","$11,282.22",12/01/2015,7,June,2015
Channel Partners,Canada, Montana , Medium ,"$1,134.20",$6.85,$23.04,"$45,400.97",$-,"$39,102.07","$28,469.24","$26,313.39",09/01/2015,3,December,2015
Midmarket,Canada, Velo , None ,"$1,131.49",$7.54,$70.64,"$39,086.35","$3,837.65","$23,378.17","$24,399.21","$26,791.77",03/01/2015,4,July,2015
Channel Partners,Mexico, Amarilla , None ,"$2,700.78",$1.50,$99.45,"$43,950.38","$3,852.18","$29,378.23","$22,003.83","$19,636.28",11/01/2013,1,July,2015
Small Business,Mexico, Amarilla , Low ,$558.36,$6.06,$14.98,"$21,503.97",$-,"$11,596.21","$22,253.61","$4,294.10",03/01/2015,7,November,2013
Small Business,United States of America, VTT , Medium ,"$2,888.71",$9.13,$66.84,"$11,243.87",$-,"$16,576.32","$14,281.48","$7,837.06",05/01/2013,3,December,2013
Small Business,Mexico, Velo , High ,"$2,228.33",$2.99,$62.11,"$54,485.78","$2,352.40","$33,567.26","$21,751.62","$16,767.83",05/01/2013,12,June,2013
Small Business,France, VTT , None ,"$1,925.06",$9.25,$56.54,"$17,180.15","$1,009.73","$35,383.68","$26,808.77","$14,775.57",11/01/2014,5,March,2013
Midmarket,France, Velo , None ,"$2,665.90",$2.01,$12.28,"$26,029.48",$-,"$21,530.45","$26,857.09","$26,694.15",05/01/2014,1,July,2014
Government,Mexico, Paseo , High ,$882.50,$8.43,$60.26,"$57,747.88",$-,"$10,969.39","$23,930.55","$24,630.69",11/01/2014,4,October,2015
Small Business,United States of America, Velo , High ,"$1,186.32",$6.37,$81.50,"$38,298.85",$668.93,"$53,333.31","$6,931.99","$28,677.06",02/01/2013,5,February,2013
Channel Partners,Germany, Amarilla , None ,"$1,331.79",$7.67,$25.78,"$11,424.37","$4,588.97","$36,586.85","$15,694.60","$23,226.98",11/01/2014,11,November,2013
Channel Partners,Mexico, Amarilla , High ,"$1,691.78",$3.32,$97.50,"$52,967.24","$1,528.82","$39,807.13","$21,625.39","$6,641.05",07/01/2015,8,December,2013
Midmarket,Mexico, VTT , Medium ,$699.61,$1.66,$77.84,"$56,108.00",$723.70,"$43,113.59","$16,215.31","$24,895.76",08/01/2013,6,August,2015
Government,France, Carretera , High ,"$2,222.74",$5.03,$60.32,"$17,978.70",$-,"$40,500.66","$26,290.07","$9,380.45",11/01/2013,12,October,2014
Channel Partners,Germany, Carretera , Medium ,"$2,153.05",$7.46,$85.59,"$23,555.61",$-,"$57,909.38","$29,418.22","$2,690.76",06/01/2014,8,October,2014
Enterprise,Mexico, Paseo , Low ,"$2,639.54",$4.73,$37.98,"$19,595.11",$-,"$57,671.17","$19,631.08","$7,174.94",01/01/2014,3,August,2014
Government,Mexico, Velo , High ,"$1,336.91",$5.25,$25.47,"$57,494.07",$-,"$40,084.37","$10,633.35","$28,840.24",06/01/2014,8,August,2014
Channel Partners,Canada, Carretera , Low ,"$2,471.87",$3.29,$80.83,"$50,619.77",$-,"$17,092.56","$27,500.07","$12,721.02",12/01/2015,9,January,2015
Small Business,United States of America, Paseo , Medium ,"$1,204.69",$2.23,$16.02,"$48,626.74","$4,172.77","$50,356.92","$12,378.28","$17,072.29",07/01/2014,2,November,2013
Small Business,Germany, Amarilla , Medium ,$819.27,$8.47,$74.72,"$39,697.43","$2,854.75","$11,732.74","$18,363.06","$27,575.28",12/01/2015,7,June,2015
Midmarket,Germany, VTT , High ,"$2,105.82",$6.54,$43.61,"$18,849.88",$-,"$44,877.79","$18,109.64","$3,570.72",09/01/2013,11,February,2015
Enterprise,United States of America, Paseo , None ,"$2,560.59",$7.78,$80.43,"$36,176.60",$-,"$56,826.56","$20,135.74","$28,196.67",10/01/2015,10,March,2014
Government,United States of America, Montana , Medium ,"$2,732.28",$7.35,$68.15,"$30,629.24","$3,581.51","$57,417.79","$23,177.10","$27,191.09",03/01/2014,5,August,2015
Midmarket,France, Montana , Medium ,"$1,554.85",$5.00,$63.73,"$53,450.61","$2,036.49","$48,777.06","$25,944.51","$4,589.02",02/01/2014,7,March,2014
Government,Canada, VTT , High ,"$1,155.22",$1.02,$43.79,"$51,860.39","$1,536.10","$29,707.25","$9,261.40","$7,107.26",03/01/2013,9,December,2013
Midmarket,Germany, Montana , High ,"$2,094.13",$1.01,$74.42,"$56,757.00","$4,268.72","$33,074.56","$5,713.18","$5,038.57",12/01/2015,2,April,2013
Enterprise,United States of America, Montana , High ,"$2,683.16",$6.73,$28.47,"$35,770.18","$4,805.18","$58,065.82","$26,244.94","$4,408.78",11/01/2013,10,September,2013
Channel Partners,Canada, Carretera , High ,$829.20,$5.25,$56.32,"$56,310.24",$-,"$32,185.83","$16,138.57","$29,719.52",02/01/2014,6,January,2015
Midmarket,Mexico, Velo , Medium ,"$1,018.21",$4.46,$42.36,"$26,876.22","$3,431.20","$35,316.88","$11,476.53","$7,696.05",10/01/2015,11,July,2013
Midmarket,Canada, Amarilla , High ,"$2,600.98",$7.13,$56.88,"$33,106.44",$-,"$53,354.94","$12,530.78","$17,296.58",05/01/2014,5,June,2013
Channel Partners,Canada, Montana , High ,"$1,857.74",$3.66,$32.98,"$10,358.48",$-,"$16,760.30","$27,319.39","$2,488.72",01/01/2015,10,August,2014
Channel Partners,Canada, Amarilla , Low ,"$2,282.88",$8.29,$30.98,"$44,667.16",$-,"$23,696.80","$16,570.26","$24,976.53",06/01/2013,9,June,2015
Government,Germany, Carretera , None ,"$2,873.49",$3.28,$64.83,"$58,678.18",$-,"$39,830.99","$26,105.99","$8,839.06",04/01/2015,2,January,2014
Channel Partners,Mexico, Amarilla , Low ,"$1,576.63",$3.74,$12.09,"$46,274.35","$2,448.88","$10,756.48","$6,232.08","$21,169.76",02/01/2014,10,June,2015
Small Business,France, Montana , None ,"$2,005.21",$7.12,$63.20,"$58,550.52",$-,"$52,112.16","$27,725.03","$7,524.36",10/01/2014,6,March,2013
Channel Partners,France, Carretera , High ,"$1,194.69",$4.82,$28.13,"$47,403.49","$2,124.71","$28,600.31","$28,484.74","$26,822.41",08/01/2014,5,September,2014
Enterprise,France, Montana , Medium ,"$1,637.78",$5.82,$14.61,"$30,462.85",$-,"$56,456.29","$24,631.23","$13,680.86",07/01/2015,3,September,2013
Enterprise,Canada, VTT , Medium ,"$1,528.48",$1.90,$29.85,"$26,554.72",$-,"$32,214.30","$15,639.16","$19,033.57",05/01/2013,1,April,2014
Midmarket,France, Paseo , Medium ,"$1,498.53",$2.40,$82.79,"$14,720.10",$739.28,"$47,388.90","$11,407.59","$27,709.91",06/01/2015,9,September,2014
Small Business,Canada, Velo , High ,$924.55,$6.85,$70.01,"$53,635.98",$-,"$41,785.93","$19,400.03","$21,690.83",04/01/2015,3,July,2013
Government,France, Amarilla , Low ,"$2,797.46",$3.94,$85.00,"$16,959.11",$186.64,"$39,392.62","$20,684.20","$29,975.35",02/01/2013,7,March,2013
Enterprise,France, Montana , Low ,"$2,946.10",$6.01,$89.95,"$58,187.41","$2,097.96","$34,726.46","$26,966.95","$22,346.84",05/01/2014,9,April,2015
Channel Partners,France, Velo , Low ,"$2,140.76",$9.71,$16.10,"$43,368.66","$1,468.68","$55,506.70","$24,472.40","$4,329.56",06/01/2014,8,March,2014
Channel Partners,Canada, Paseo , None ,"$1,063.21",$8.43,$51.06,"$40,355.97","$3,907.56","$18,891.67","$21,094.32","$10,991.39",09/01/2013,5,April,2014
Channel Partners,Mexico, Montana , None ,"$1,439.45",$6.96,$30.42,"$31,324.05",$-,"$53,622.05","$19,409.18","$8,981.57",06/01/2015,12,July,2015
Enterprise,France, Carretera , High ,"$1,523.57",$1.63,$30.95,"$58,349.52","$4,745.76","$28,594.38","$23,160.58","$7,485.13",05/01/2014,11,September,2013
Channel Partners,France, Velo , Medium ,"$1,046.50",$7.66,$38.75,"$20,255.65",$-,"$14,505.91","$28,884.15","$19,409.02",05/01/2015,7,January,2014
Enterprise,France, VTT , Low ,$525.11,$7.42,$77.83,"$26,226.50",$-,"$25,614.70","$13,464.74","$29,615.86",09/01/2014,5,July,2015
Government,Germany, Montana , None ,"$1,203.55",$2.07,$64.85,"$17,585.05",$161.85,"$55,795.94","$5,897.32","$21,117.61",02/01/2014,1,March,2013
Small Business,United States of America, Velo , Medium ,"$2,930.80",$7.53,$57.87,"$22,142.48",$-,"$19,997.35","$17,200.32","$14,109.93",05/01/2014,10,June,2014
Government,Germany, Carretera , Low ,$910.64,$1.31,$14.12,"$32,807.22",$922.01,"$33,526.19","$16,103.88","$16,580.03",02/01/2014,5,February,2015
Enterprise,United States of America, Carretera , High ,$900.48,$4.00,$48.25,"$50,640.09",$773.25,"$20,197.77","$23,818.58","$28,825.61",02/01/2014,8,April,2015
Channel Partners,France, Carretera , Medium ,"$2,268.65",$8.12,$68.19,"$44,621.79",$-,"$53,997.86","$20,677.47","$12,785.64",12/01/2013,2,April,2015
Midmarket,Mexico, Montana , Medium ,"$1,976.30",$5.87,$88.39,"$45,030.75",$-,"$56,971.30","$8,873.80","$16,609.91",04/01/2015,3,January,2013
